# Media Audit Report

Generated at: 2026-03-12T10:43:53.221494+00:00

Read-only audit scope:
- SELECT queries only against Postgres.
- HTTP HEAD and GET probes only against Supabase Storage.
- No DB writes, no storage writes, no signed-url POSTs.

## SUMMARY

- total media objects: 834
- total media assets: 140
- total lesson media rows: 819
- total storage objects: 780
- missing files: 321 unique objects / 545 DB rows
- mime mismatches: 0
- 0 byte files: 0
- tiny files (<100 bytes): 39
- missing byte_size rows: 3
- invalid buckets: 0
- unsupported formats: 2
- orphaned files (storage without DB): 11
- DB references missing in storage: 545
- orphaned storage GB: 0.489
- DB-missing storage GB: 2.434
- total GB of garbage: 2.923
- orphaned vs valid storage: 1.41% orphaned / 98.59% referenced
- not-ready media_assets: 23

## WHY FILES APPEAR "UNSUPPORTED"

- image/webp is not in the supported playback set (2)
- Private buckets are validated with authenticated HEAD/GET requests. Signed URL POST generation was intentionally avoided to preserve read-only semantics.
- lesson_media.media_asset_id being null is often a legacy/object-backed row, not automatically a corruption case. (727)

## RELATION DIAGNOSTICS

- missing media_asset relations: 0
- missing media_object relations: 0
- lesson_media.media_asset_id null: 727
- missing course cover relations: 0
- unresolvable lesson_media rows: 0

## BROKEN MEDIA

| media_id | storage_path | bucket | reason | source_table |
| 6118a6b6-b6a3-4694-92a0-cc00913e7bcb | be6de80a-36ef-44f6-a92b-c5255b89d24e/935c92c0-761b-4de8-aa31-83688422483c/audio/1213cb6d27704007aed2ae8c092102b0.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| 4c55cf5a-28d5-4bce-9183-0fbe749e6127 | be6de80a-36ef-44f6-a92b-c5255b89d24e/dfd5b358-2d10-48dc-99e6-c649043b2f0e/audio/086a66ba70454a9893dd59e2a6296e90.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| 0e639974-3826-4396-857b-1d0ea66a7e76 | 2083bc27-316e-4119-8916-5f22727955f9/ddbd0607-d4ce-4ace-b2b3-974434ab299f/audio/8c7da06aaa704725adcae2fb1f8b5144.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| e81375aa-b1c5-45a7-824a-b4f45cfada2b | 2083bc27-316e-4119-8916-5f22727955f9/6afb2d27-4ac1-4c40-9967-4f0f62884ef6/audio/03afadfd7cde48b1a7532772f0665cff.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| fc2b5693-6158-4a74-9614-174624c3694d | 2083bc27-316e-4119-8916-5f22727955f9/6afb2d27-4ac1-4c40-9967-4f0f62884ef6/audio/d812fbaeb502411abe20875ecff23c79.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| fc3d8f41-e7e2-4b87-a36d-0944af45dd10 | 2083bc27-316e-4119-8916-5f22727955f9/d691d3dc-7d08-4f05-a8a9-784497a4fd6c/audio/fc226944dd7f4313b077c5eddca20a11.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| 228e361d-1597-4335-b418-5fbde9e7bf36 | 2083bc27-316e-4119-8916-5f22727955f9/3a6a7ac9-4711-49b0-bd86-ceeb7921fb8d/audio/9f726dbdeea940589048dd5000e61b64.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| 53d4449b-6dec-42ac-842a-5257a2cb1aa8 | 2083bc27-316e-4119-8916-5f22727955f9/c009d3cb-2148-48ee-ae26-b119fda8fa79/audio/fe82e514a84448a2924a20d421fe019f.m4a | course-media | DB reference missing in storage.objects | app.media_objects |
| 38a63d1b-6bcb-4d09-803e-6b37a2877e0f | b7228672-ea61-4971-9ecd-bd3e6afabe3e/c979d725-b236-425e-87dd-fdf6024315b2/audio/394ecec7773c4d2b99e5e8c0cc015ffb.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
| 72ebc435-8274-45f4-a22f-23fe283130b3 | b7228672-ea61-4971-9ecd-bd3e6afabe3e/6ab303aa-d28d-4ff3-bd23-bbff0943197c/audio/66e01d6296834d36b2d1779a2eabaf3f.mp3 | course-media | DB reference missing in storage.objects | app.media_objects |
